Run,Real_time,User_time,System_time
1,24.408,18.186,6.214
2,20.526,15.107,5.409
3,20.207,15.000,5.208
4,20.545,15.654,4.894
5,20.855,15.978,4.878
6,21.414,16.125,5.292
7,20.977,15.801,5.178
8,21.865,16.142,5.720
9,22.216,16.443,5.773
10,22.774,17.216,5.552
